N,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,10.0,100.0
2,-2.0,-2.009975124224178,-2.039607805437114,-2.08806130178211,-2.1540659228538015,-2.23606797749979,-2.33238075793812,-2.4413111231467406,-2.5612496949731396,-2.6907248094147422,-2.82842712474619,-2.973213749463701,-3.1240998703626617,-20.09975124224176,-200.00999975001218
3,-3.0,-3.007878402833887,-3.033030277982334,-3.0776388834631163,-3.143559577416264,-3.232050807568877,-3.3435595774162694,-3.477638883463118,-3.6330302779823302,-3.8078784028338912,-4.0,-4.20713075057054,-4.4271057451320015,-30.07878402833881,-300.0075375456908
4,-4.0,-4.010037405062513,-4.040593699203854,-4.092961599426858,-4.1691429451087645,-4.27155841013971,-4.402568723322251,-4.5638560652030025,-4.755851777650323,-4.977465611454964,-5.226251859505506,-5.498905492735204,-5.791834638568259,-40.100374050624986,-400.01000037498943
5,-5.0,-5.012510556199563,-5.050212437610221,-5.113788665585291,-5.204702798657261,-5.325343067060874,-5.478898174633949,-5.668793220532421,-5.897644613329319,-6.1660817539651624,-6.472135954999574,-6.811640007283483,-7.179322121811986,-50.12510556199553,-500.0125000808608
6,-6.0,-6.015009643654405,-6.060167024024004,-6.135949985327423,-6.243443643699887,-6.3846945636036745,-6.563001032061953,-6.782816057509466,-7.048804475009549,-7.363913820847339,-7.727406610312538,-8.134505109904477,-8.577996550494126,-60.15009643654393,-600.0150000937764
7,-7.0,-7.017510987417834,-7.0701796180599015,-7.158454097521296,-7.283264126898284,-7.446379649852219,-7.650929776081647,-7.901817772205609,-8.205326918664028,-8.566966451371682,-8.98791841486986,-9.463097074022375,-9.983080019994222,-70.17510987417839,-700.0175001093777
8,-8.0,-8.020012533458656,-8.080202559111349,-8.18104933692895,-8.323464454468908,-8.509082235140278,-8.74083445428993,-9.023734141383029,-9.3652044564372,-9.773287658015988,-10.251661790966029,-10.795267672374683,-11.392199651525491,-80.20012533458653,-800.0200001250037
9,-9.0,-9.0225140979898,-9.090227384683743,-9.203669348780105,-9.363801620944297,-9.572239785939715,-9.831789710318795,-10.14742532538806,-10.527304773023696,-10.98180308533627,-11.517540966287266,-12.129836686324632,-12.804026444985263,-90.22514097989803,-900.0225001406291
10,-10.0,-10.025015664234306,-10.100252558507007,-10.226296200955703,-10.40418891533828,-10.635604409347968,-10.923314569220256,-11.272225001549641,-11.690935719640791,-12.191868976216137,-12.784906442999324,-13.466098390454931,-14.217750523643529,-100.25015664234307,-1000.0250001562539
11,-11.0,-11.027517230639175,-11.110277797375163,-11.248924963712044,-11.4445948016744,-11.699064532661676,-12.01515267792003,-12.397729197964244,-12.855649534417926,-13.403074074996319,-14.053348366664542,-14.803602963599312,-15.632846944225768,-110.27517230639181,-1100.0275001718767
12,-11.999999999999991,-12.030018797058847,-12.120303048491536,-12.27155426479971,-12.485007649154069,-12.76256915102406,-13.107164944918763,-13.523686903200298,-14.021144494312788,-14.615142146895264,-15.322595151080781,-16.14204898485899,-17.04895935665285,-120.30018797059175,-1200.0300001875044
13,-13.000000000000002,-13.03252036348058,-13.13032830192919,-13.294183718614196,-13.525423122460673,-13.826094668447357,-14.199274881181054,-14.649939398704069,-15.187211126814935,-15.827880013634335,-16.592459621117506,-17.481226164141553,-18.465837208036632,-130.3252036348063,-1300.03250020313
14,-13.999999999999998,-14.03502192990215,-14.140353555809035,-14.316813215998126,-14.565839592198413,-14.889630066250575,-15.2914399782849,-15.77638500620226,-16.353700743819374,-17.041148038725357,-17.862808540760994,-18.820982840392485,-19.88329951087858,-140.35021929902146,-1400.0350002187554
15,-15.00000000000001,-15.037523496323777,-15.150378809773471,-15.339442725867949,-15.606256441911393,-15.953170160246845,-16.383636410876708,-16.902957924171705,-17.520506018782605,-18.25484247366901,-19.133544467011266,-20.161206560264947,-21.301212760278773,-150.3752349632376,-1500.0375002343799
16,-16.00000000000002,-16.040025062745315,-16.160404063754,-16.362072239329542,-16.646673437115076,-17.016712496347406,-17.475850731692702,-18.02961521995449,-18.687548473934882,-19.46888443283329,-20.40459447475668,-21.50181196386551,-22.719476846659077,-160.40025062745343,-1600.0400002500055
17,-17.000000000000007,-17.042526629166936,-17.17042931773788,-17.384701753827695,-17.687090488218924,-18.08025590693479,-18.56807530669819,-19.156328692591927,-19.854770140892263,-20.68321275073421,-21.675902894918877,-22.84273294813148,-24.138015719993337,-170.4252662916694,-1700.042500265631
18,-18.000000000000018,-18.045028195588507,-18.180454571722414,-18.40733126862585,-18.727507560864055,-19.143799834108385,-19.660305780733246,-20.28307971261377,-21.02212785136921,-21.897779205615322,-22.947426491339684,-24.183917435866807,-25.556771002937175,-180.45028195588492,-1800.045000281257
19,-19.000000000000004,-19.047529762010097,-19.190479825706987,-19.42996078350961,-19.76792464183142,-20.20734401033349,-20.752539658812466,-21.40985591375996,-22.18958924442467,-23.112545235650185,-24.219131170881997,-25.525323787183915,-26.975697504175965,-190.4752976201008,-1900.0475002968797
20,-20.00000000000001,-20.050031328431693,-20.20050507969166,-20.452590298414638,-20.80834172602117,-21.270888306919257,-21.84477550646904,-22.53664905291941,-23.357129926461994,-24.327479625332302,-25.490989686364756,-26.86691827749879,-28.39475999667925,-200.5003132843169,-2000.0500003125087
